key	current_en	en	zh-TW	context	placeholders	constraints	status	source
browser.access.required	StandTerm access required	StandTerm access required	需要 StandTerm 存取權限	Separate server-rendered initial access gate.		This surface exists before the main template loads; preserve no-JS login fallback.	proposed	app.py:5698
browser.access.instructions	Enter the access token printed by the launcher, or open the full Access URL.	Enter the launcher’s access token, or open its full Access URL.	輸入啟動器提供的存取權杖，或開啟其完整 Access URL。	Initial access token source.		Retain Access URL spelling used by the launcher; never replace with browser authorization URL.	proposed	app.py:5699
agent.approval.input	Approve	Approve input	核准輸入	Approve one exact pending terminal-input proposal.		Do not say Execute; input need not be a command and approval can still fail typed checks.	proposed	templates/index.html:3919
agent.approval.copy	Approve copy	Approve copy	核准複製	Approve the canonical file-copy proposal.		Keep endpoints, paths, size and replacement warning visible; direct input does not bypass approval.	proposed	templates/index.html:3919
agent.approval.reject	Reject / Deny	Reject	拒絕	Reject one pending input or file-copy proposal via agent_action_reject.		Does not disable Agent access, pause all operations or revoke a token.	proposed	templates/index.html:3920; templates/index.html:8787
agent.approval.pause	Pause	Pause Agent	暫停 Agent	Pause access for the terminal shown by the Agent panel.		Not equivalent to rejecting this proposal or stopping only this transfer.	proposed	templates/index.html:1644; templates/index.html:8800
agent.approval.newline	newline:	Ends with newline	以換行結尾	Display action.ends_with_newline with localized yes/no.		Do not infer command execution from newline or inspect translated text for control.	proposed	templates/index.html:1636
agent.approval.control	control:	Contains control characters	含控制字元	Display action.contains_control_chars with localized yes/no.		Keep escaped_preview unchanged and safely rendered as text.	proposed	templates/index.html:1637
agent.copy.source	From	From	來源	Canonical source endpoint and path label.		Translate only the label; preserve exact endpoint and path values.	proposed	templates/index.html:1626
agent.copy.destination	To	To	目的地	Canonical destination endpoint and path label.		Translate only the label; do not replace paths with a friendly or editable approximation.	proposed	templates/index.html:1627
agent.copy.size	Size	Size	大小	Source file size.		Do not confuse with the existing destination size in the replacement warning.	proposed	templates/index.html:1628
agent.copy.replace	This will atomically replace an existing regular file ({size}).	Replace the existing file ({size}).	將覆寫既有檔案（{size}）。	Warning for replace with an existing regular destination file.	{size}	Keep existing destination size and replacement consequence; atomic implementation is not a user-facing guarantee of success.	proposed	templates/index.html:3890
agent.copy.keep_both	The displayed destination is the exact keep-both name selected by the backend.	Copy to the destination shown; keep the existing file.	複製到顯示的目的地，並保留既有檔案。	keep_both resolves a canonical destination before approval.		Do not imply the operator may edit this name or that the original destination will be replaced.	proposed	templates/index.html:3893
agent.copy.replace_missing	Replace was requested, but no destination file existed during preflight.	Replace requested; no destination file existed when checked.	已要求覆寫；檢查時目的地沒有檔案。	Replace intent when preflight observed no destination file.		Describe the preflight observation; do not claim the destination remains absent or a race cannot occur.	proposed	templates/index.html:3891
agent.transfer.stop	Stop	Stop	停止	Request cancellation before commit.		Keep existing cancellation barrier and disabled state; clicking alone is not confirmation of cancellation.	proposed	templates/index.html:9270
agent.transfer.stopping	Stop (disabled while cancelPending)	Stopping…	正在停止…	Show a pending cancellation request until backend result.		Display only while record.cancelPending. Do not map a request to stopped or safe destination.	proposed	templates/index.html:9271
agent.transfer.stopped	Stopped	Stopped	已停止	Confirmed operator cancellation.		Use only file_copy_cancelled_by_operator; disconnect or generic failure does not establish that publication was prevented.	proposed	templates/index.html:9165
agent.transfer.committing	The destination is being published and cannot be stopped	Finishing the copy; it can no longer be stopped.	正在完成複製，已無法停止。	Disabled Stop tooltip during committing.		Not a success or failure result. Do not enable Stop after the commit barrier.	proposed	templates/index.html:9272
agent.transfer.dismiss	Dismiss	Dismiss	隱藏此筆	Hide a finished transfer record.		Does not delete a file or cancel work. Preserve accessible name containing the filename.	proposed	templates/index.html:9266
agent.copy.result_unknown	destination may have changed; inspect it before retrying	Copy result unknown. The destination may have changed; check it before retrying.	無法確認複製結果。目的地可能已變更，請先檢查再重試。	Ambiguous destination publication; show in Agent details and transfer queue.		Select by file_copy_publish_outcome_unknown. Retain diagnostic code, never auto-retry or claim destination unchanged.	proposed	templates/index.html:3656; templates/index.html:9166
browser.connection.reconnecting	Retrying...	Reconnecting…	正在重新連線…	Pending socket retry; reset to browser.connection.retry.		Plain text. Show only for the existing typed/local state; do not claim success or alter retries.	proposed	templates/index.html:7829; templates/index.html:7832
browser.recovery.checking	Unlocking...	Checking access token…	正在驗證存取權杖…	Pending access-token submission on initial gate and recovery dialog.		Plain text. Show only for the existing typed/local state; do not claim success or alter retries.	proposed	app.py:5813; templates/index.html:11843
browser.recovery.checking_saved	Unlocking with remembered token...	Checking saved access token…	正在驗證已儲存的存取權杖…	Pending submission of token-vault contents.		Plain text. Show only for the existing typed/local state; do not claim success or alter retries.	proposed	templates/index.html:11854
browser.recovery.verifying_device	Waiting for device verification...	Waiting for device verification…	等待裝置驗證…	Pending platform credential ceremony on both access surfaces.		Plain text. Show only for the existing typed/local state; do not claim success or alter retries.	proposed	app.py:5773; templates/index.html:11868
browser.recovery.token_rejected	Access token was not accepted.	Access token was not accepted.	存取權杖未通過驗證。	Unsuccessful /login response.		Plain text. Show only for the existing typed/local state; do not claim success or alter retries.	proposed	app.py:5824; templates/index.html:8125
